,location,parameter,value,coordinates.longitude,coordinates.latitude
0,ES0115A,no2,40.0,-3.71222,40.42417
1,ES0118A,no2,34.0,-3.68222,40.42167
2,ES0120A,no2,34.0,-3.67722,40.45167
3,ES0124A,no2,13.0,-3.63917,40.44
4,ES0125A,no2,14.0,-3.705,40.34694
5,ES0126A,no2,10.0,-3.73194,40.39472
6,ES1193A,no2,3.0,-3.74917,40.42
7,ES1422A,no2,23.0,-3.70333,40.41917
8,ES1426A,no2,23.0,-3.64528,40.40805
9,ES1521A,no2,15.0,-3.71139,40.47833
10,ES1525A,no2,17.0,-3.70639,40.44528
11,ES1532A,no2,16.0,-3.65139,40.38805
12,ES1563A,no2,18.0,-3.37778,40.47917
13,ES1564A,no2,6.0,-3.64472,40.54056
14,ES1565A,no2,21.0,-3.80167,40.28111
15,ES1567A,no2,14.0,-3.73583,40.33972
16,ES1568A,no2,6.0,-3.87639,40.32417
17,ES1611A,no2,5.0,-3.59164,40.03328
18,ES1612A,no2,9.0,-3.86722,40.44778
19,ES1613A,no2,4.0,-3.77222,40.66639
20,ES1645A,no2,9.0,-3.575,40.47472
21,ES1752A,no2,15.0,-3.48417,40.455
22,ES1801A,no2,29.0,-3.45889,40.30083
23,ES1802A,no2,1.0,-3.46667,40.91028
24,ES1803A,no2,16.0,-4.01333,40.63389
25,ES1805A,no2,7.0,-3.7025,40.78083
26,ES1806A,no2,3.0,-3.22222,40.28694
27,ES1807A,no2,8.0,-3.54414,40.35853
28,ES1808A,no2,2.0,-4.39694,40.36889
29,ES1809A,no2,8.0,-3.67972,40.18528
30,ES1810A,no2,3.0,-4.27472,40.25194
31,ES1811A,no2,13.0,-3.27667,40.16722
32,ES1838A,no2,6.0,-3.50306,40.59333
33,ES1869A,no2,15.0,-3.54583,40.43
34,ES1890A,no2,5.0,-3.83389,40.34194
35,ES1937A,no2,11.0,-3.68667,40.39806
36,ES1938A,no2,20.0,-3.69028,40.43972
37,ES1939A,no2,11.0,-3.68556,40.40972
38,ES1940A,no2,28.0,-3.68833,40.46583
39,ES1941A,no2,17.0,-3.61194,40.37278
40,ES1942A,no2,4.0,-3.58056,40.4625
41,ES1943A,no2,19.0,-3.71861,40.38472
42,ES1944A,no2,10.0,-3.66028,40.49417
43,ES1945A,no2,6.0,-3.77444,40.51805
44,ES1946A,no2,7.0,-3.60889,40.465
45,ES1947A,no2,10.0,-3.68972,40.50056
46,ES2028A,no2,8.0,-3.71724,40.31285
