,location,parameter,value,coordinates.longitude,coordinates.latitude
0,ES0118A,o3,64.86,-3.68222,40.42167
1,ES0124A,o3,74.52,-3.63917,40.44
2,ES0125A,o3,77.81,-3.705,40.34694
3,ES0126A,o3,81.06,-3.73194,40.39472
4,ES1193A,o3,75.17,-3.74917,40.42
5,ES1422A,o3,57.32,-3.70333,40.41917
6,ES1521A,o3,70.95,-3.71139,40.47833
7,ES1563A,o3,75.0,-3.37778,40.47917
8,ES1564A,o3,85.0,-3.64472,40.54056
9,ES1565A,o3,72.0,-3.80167,40.28111
10,ES1567A,o3,73.0,-3.73583,40.33972
11,ES1568A,o3,88.0,-3.87639,40.32417
12,ES1611A,o3,80.0,-3.59164,40.03328
13,ES1612A,o3,77.0,-3.86722,40.44778
14,ES1613A,o3,70.0,-3.77222,40.66639
15,ES1645A,o3,79.6,-3.575,40.47472
16,ES1752A,o3,85.0,-3.48417,40.455
17,ES1801A,o3,56.0,-3.45889,40.30083
18,ES1802A,o3,85.0,-3.46667,40.91028
19,ES1803A,o3,78.0,-4.01333,40.63389
20,ES1805A,o3,91.0,-3.7025,40.78083
21,ES1806A,o3,83.0,-3.22222,40.28694
22,ES1807A,o3,83.0,-3.54414,40.35853
23,ES1808A,o3,85.0,-4.39694,40.36889
24,ES1809A,o3,82.0,-3.67972,40.18528
25,ES1810A,o3,49.0,-4.27472,40.25194
26,ES1811A,o3,72.0,-3.27667,40.16722
27,ES1838A,o3,81.0,-3.50306,40.59333
28,ES1869A,o3,77.0,-3.54583,40.43
29,ES1890A,o3,80.0,-3.83389,40.34194
30,ES1939A,o3,78.83,-3.68556,40.40972
31,ES1941A,o3,82.67,-3.61194,40.37278
32,ES1943A,o3,54.63,-3.71861,40.38472
33,ES1945A,o3,81.82,-3.77444,40.51805
34,ES1946A,o3,71.71,-3.60889,40.465
35,ES1947A,o3,85.29,-3.68972,40.50056
36,ES2028A,o3,78.0,-3.71724,40.31285
