,location,parameter,value,coordinates.longitude,coordinates.latitude
0,ES0118A,pm25,6.0,-3.68222,40.42167
1,ES1193A,pm25,4.0,-3.74917,40.42
2,ES1525A,pm25,2.0,-3.70639,40.44528
3,ES1563A,pm25,6.0,-3.37778,40.47917
4,ES1567A,pm25,6.0,-3.73583,40.33972
5,ES1752A,pm25,1.0,-3.48417,40.455
6,ES1802A,pm25,3.0,-3.46667,40.91028
7,ES1803A,pm25,4.0,-4.01333,40.63389
8,ES1809A,pm25,1.0,-3.67972,40.18528
9,ES1810A,pm25,2.0,-4.27472,40.25194
10,ES1811A,pm25,2.0,-3.27667,40.16722
11,ES1838A,pm25,4.0,-3.50306,40.59333
12,ES1869A,pm25,4.0,-3.54583,40.43
13,ES1890A,pm25,2.0,-3.83389,40.34194
14,ES1937A,pm25,3.0,-3.68667,40.39806
15,ES1938A,pm25,1.0,-3.69028,40.43972
16,ES1940A,pm25,2.0,-3.68833,40.46583
17,ES1943A,pm25,4.0,-3.71861,40.38472
18,ES2028A,pm25,5.0,-3.71724,40.31285
